"Date","cycle","u_t","residuals"
"2014-10",3247.14663172918,189.378042515466,-12.4929561001923
"2014-11",3103.60199566413,181.006322579579,95.9018415129645
"2014-12",2862.39862940478,166.939011635259,8.59607955287022
"2015-01",2576.16568785305,150.245514136613,-89.3405693675062
"2015-02",2429.20820703094,141.674752416414,50.9148486245022
"2015-03",2235.04239372275,130.35073603587,-1.73667775441517
"2015-04",2042.32969702837,119.111467408071,-8.51008902426112
"2015-05",1851.08030240588,107.957540562892,-26.7942966341402
"2015-06",1697.83764782756,99.0202188939718,6.7932324453428
"2015-07",1532.27691484901,89.3644900080212,13.1158280739181
"2015-08",1289.33314890467,75.195676568459,-88.1840326504746
"2015-09",1105.56757279282,64.4782162770964,-62.1050183464527
"2015-10",992.265469542708,57.8702823092469,5.06303248649217
"2015-11",862.14664576886,50.2815741493126,-12.1519126598536
"2015-12",720.018100349063,41.9924425609315,8.07017219960076
"2016-01",460.501377304987,26.8570715463052,-153.41255405134
"2016-02",329.12530675989,19.195039031329,-8.59580374667009
"2016-03",105.011265439001,6.12440094222659,-120.526876219872
"2016-04",-69.6389932196247,-4.06144154064806,-96.1568045640999
"2016-05",-196.157454516988,-11.440171625838,-73.3889702090914
"2016-06",-267.393602304503,-15.5947614101491,37.4449736586127
"2016-07",-533.089327772235,-31.0905003158513,-154.784282947823
"2016-08",-803.440696679566,-46.8577627285691,-195.009986342247
"2016-09",-994.668347966905,-58.0104214726374,-144.718230352558
"2016-10",-1133.50991454524,-66.1078519494324,-84.6529029995193
"2016-11",-1323.68931193623,-77.1993750893955,-193.896080990948
"2016-12",-1345.5786918634,-78.4759937311217,32.3512091601786
"2017-01",-1584.11598116852,-92.3878154130064,-243.726389572412
"2017-02",-1625.2048593962,-94.7841751128981,43.036544250465
"2017-03",-1989.68948072616,-116.041417837937,-395.932143665927
"2017-04",-1975.720856151,-115.226748505536,-246.982587832949
"2017-05",-1305.32142390631,-76.128134682122,635.581687287932
"2017-06",-1385.14803567044,-80.7837321007341,-135.4744824923
"2017-07",-1271.17828174408,-74.1368598302788,-400.628410617146
"2017-08",269.941614153427,15.7433649538081,1701.51567460463
"2017-09",-388.185261270245,-22.6394965334737,-1183.92140765699
"2017-10",1441.42271104456,84.0657483057948,715.553511404675
"2017-11",4899.78945205497,285.762437119743,2339.35422992937
"2017-12",8508.87942078542,496.249511174791,5117.13145956102
"2018-01",4252.82532393027,248.030602356022,-3759.48190275319
"2018-02",4101.59997496868,239.210932715846,1243.33155699484
"2018-03",341.667298151691,19.9265051609507,-4105.53631113857
"2018-04",2265.29453051918,132.115082121272,2597.40277622333
"2018-05",167.393733726823,9.76263200213398,-1478.41283376391
"2018-06",-1282.74011906906,-74.8111620311993,-1704.96468147389
"2018-07",-275.023307267989,-16.0397362618656,1324.05739270513
"2018-08",-1395.67178289549,-81.3974914640878,-826.685002368023
"2018-09",-2194.85005947803,-128.006664009983,-585.717102947967
"2018-10",-2899.62154943839,-169.109903354098,109.53698520029
"2018-11",-5606.7236475964,-326.991808417827,-2522.50334473342
"2018-12",-6298.24613100879,-367.322347539287,-645.454332875968
"2019-01",-7010.51261458244,-408.862705184522,-906.077205895548
"2019-02",-7051.4453324475,-411.249957398013,-225.767000908511
"2019-03",-7249.42658542549,-422.796495450028,-693.314075474942
"2019-04",-6463.43294667975,-376.95626905532,-358.878994510072
"2019-05",-3709.71244501697,-216.355514798067,1918.05013232455
"2019-06",-1947.78818824767,-113.597677025339,2000.01368863723
"2019-07",-3170.63805829808,-184.915957640562,-943.707809590767
"2019-08",-4127.42217348669,-240.716918728612,-448.585776240869
"2019-09",-5976.41583577151,-348.55276357943,-2069.72294647944
"2019-10",-5593.1222653402,-326.198557160857,854.243451363791
"2019-11",-7755.52786493802,-452.313015798114,-2023.34434949429
"2019-12",-8673.79511878192,-505.867620736421,-1687.908401735
"2020-01",-7068.58623936698,-412.249638585069,1676.61541728826
"2020-02",-8380.44475394321,-488.75902535563,-673.132339142286
"2020-03",-11110.8410935129,-647.999482508545,-3503.16053493979
"2020-04",-9468.67077124743,-552.225858346084,1131.33949620938
"2020-05",-9251.53849039307,-539.562406097482,156.910618924672
"2020-06",-10166.9641747156,-592.951286806287,-1738.90488416083
"2020-07",-8580.12097202789,-500.404416096002,1261.62130060469
"2020-08",-8826.87213603254,-514.795282209347,-76.1792130572487
"2020-09",-10331.9180361078,-602.571622109461,-2553.32010992859
"2020-10",-7947.81280805016,-463.527337250664,302.357635600405
"2020-11",-2718.04258481707,-158.519969242111,2072.13161402324
"2020-12",6041.1709513505,352.32937068161,7412.52739757937
"2021-01",9536.63002045014,556.189334913195,88.3530646745505
"2021-02",20943.3978456931,1221.44767005113,7435.35087819899
"2021-03",34109.3273464331,1989.30272543525,14352.5209284536
"2021-04",32327.8578886059,1885.40498474568,6303.87533972193
"2021-05",11300.591430144,659.065982236867,-18401.2124082051
