Date,Nickel_Price_USD_per_MT
1980M01,6584.8
1980M02,6978.9
1980M03,6733.8
1980M04,6233.3
1980M05,6000.8
1980M06,6294.9
1980M07,6622.2
1980M08,6584.5
1980M09,6655.3
1980M10,6691.9
1980M11,6452.7
1980M12,6391.0
1981M01,6403.8
1981M02,6370.7
1981M03,6292.4
1981M04,6307.0
1981M05,6352.2
1981M06,6169.4
1981M07,6150.2
1981M08,5999.2
1981M09,5579.0
1981M10,5216.8
1981M11,5100.2
1981M12,5496.1
1982M01,5628.8
1982M02,5716.8
1982M03,5653.3
1982M04,5394.0
1982M05,5211.9
1982M06,5186.6
1982M07,5068.6
1982M08,4953.1
1982M09,4310.3
1982M10,3916.5
1982M11,3433.7
1982M12,3576.3
1983M01,3797.0
1983M02,4228.2
1983M03,4831.9
1983M04,4817.8
1983M05,5031.6
1983M06,4883.2
1983M07,4804.1
1983M08,4852.8
1983M09,4910.6
1983M10,4674.2
1983M11,4585.2
1983M12,4657.0
1984M01,4670.5
1984M02,4639.8
1984M03,4780.7
1984M04,4911.5
1984M05,4811.4
1984M06,4773.2
1984M07,4640.3
1984M08,4736.0
1984M09,4705.5
1984M10,4750.3
1984M11,4748.3
1984M12,4859.0
1985M01,4947.2
1985M02,5050.8
1985M03,5211.7
1985M04,5489.5
1985M05,5604.1
1985M06,5553.4
1985M07,5090.5
1985M08,4907.5
1985M09,4570.2
1985M10,4239.5
1985M11,4034.5
1985M12,4089.6
1986M01,4034.5
1986M02,3988.2
1986M03,4122.6
1986M04,3999.2
1986M05,4043.3
1986M06,4087.4
1986M07,3911.0
1986M08,3807.4
1986M09,3723.6
1986M10,3644.2
1986M11,3642.0
1986M12,3571.5
1987M01,3525.2
1987M02,3717.0
1987M03,3772.1
1987M04,3897.8
1987M05,4435.7
1987M06,4435.7
1987M07,4753.2
1987M08,5306.5
1987M09,5333.0
1987M10,5692.3
1987M11,5937.0
1987M12,7661.1
1988M01,8073.3
1988M02,8666.9
1988M03,15496.8
1988M04,18011.8
1988M05,17025.0
1988M06,15589.8
1988M07,14591.3
1988M08,14187.0
1988M09,11878.4
1988M10,11557.5
1988M11,13342.0
1988M12,16920.0
1989M01,17725.0
1989M02,18523.8
1989M03,17157.1
1989M04,15261.3
1989M05,13454.2
1989M06,12142.6
1989M07,12275.0
1989M08,12909.7
1989M09,11222.1
1989M10,10424.9
1989M11,9793.2
1989M12,8809.2
1990M01,7055.9
1990M02,6976.9
1990M03,9266.8
1990M04,8939.5
1990M05,8698.0
1990M06,8422.1
1990M07,9318.2
1990M08,10957.4
1990M09,10844.0
1990M10,9145.4
1990M11,8587.4
1990M12,8157.6
1991M01,8568.8
1991M02,8672.3
1991M03,8700.8
1991M04,9021.0
1991M05,8452.4
1991M06,8280.0
1991M07,8541.3
1991M08,8144.7
1991M09,7680.7
1991M10,7443.0
1991M11,7244.6
1991M12,7117.8
1992M01,7517.3
1992M02,7861.9
1992M03,7417.7
1992M04,7420.6
1992M05,7326.8
1992M06,7192.8
1992M07,7497.9
1992M08,7268.0
1992M09,6917.5
1992M10,6305.3
1992M11,5564.88
1992M12,5724.07
1993M01,5930.93
1993M02,6038.68
1993M03,5971.3
1993M04,5972.33
1993M05,5762.55
1993M06,5532.43
1993M07,5036.2
1993M08,4721.81
1993M09,4352.89
1993M10,4448.9
1993M11,4633.89
1993M12,5119.12
1994M01,5577.95
1994M02,5824.95
1994M03,5587.54
1994M04,5407.97
1994M05,6086.65
1994M06,6281.84
1994M07,6226.76
1994M08,5859.5
1994M09,6364.75
1994M10,6748.29
1994M11,7556.14
1994M12,8555.5
1995M01,9592.55
1995M02,8505.45
1995M03,7531.91
1995M04,7397.83
1995M05,7232.19
1995M06,7871.57
1995M07,8596.57
1995M08,8944.66
1995M09,8405.21
1995M10,8061.73
1995M11,8505.91
1995M12,8090.89
1996M01,7862.05
1996M02,8215.55
1996M03,8021.74
1996M04,8042.85
1996M05,8026.55
1996M06,7709.48
1996M07,7203.65
1996M08,7054.36
1996M09,7318.05
1996M10,7031.39
1996M11,6943.38
1996M12,6580.75
1997M01,7071.55
1997M02,7734.53
1997M03,7895.87
1997M04,7315.52
1997M05,7482.85
1997M06,7062.48
1997M07,6835.5
1997M08,6761.3
1997M09,6503.84
1997M10,6380.33
1997M11,6139.5
1997M12,5945.36
1998M01,5491.75
1998M02,5386.88
1998M03,5395.8
1998M04,5393.88
1998M05,5020.0
1998M06,4475.7
1998M07,4325.43
1998M08,4080.63
1998M09,4102.16
1998M10,3871.93
1998M11,4131.91
1998M12,3878.21
1999M01,4268.75
1999M02,4626.38
1999M03,5011.3
1999M04,5102.63
1999M05,5399.34
1999M06,5195.0
1999M07,5700.11
1999M08,6448.69
1999M09,7028.41
1999M10,7321.19
1999M11,7949.55
1999M12,8083.38
2000M01,8309.5
2000M02,9653.33
2000M03,10280.11
2000M04,9727.5
2000M05,10130.24
2000M06,8410.91
2000M07,8164.41
2000M08,8006.71
2000M09,8637.98
2000M10,7678.07
2000M11,7339.77
2000M12,7314.34
2001M01,6994.77
2001M02,6524.13
2001M03,6133.52
2001M04,6329.87
2001M05,7060.83
2001M06,6641.19
2001M07,5937.05
2001M08,5520.8
2001M09,5027.0
2001M10,4825.33
2001M11,5078.41
2001M12,5263.82
2002M01,6043.18
2002M02,6029.25
2002M03,6537.5
2002M04,6958.21
2002M05,6761.36
2002M06,7119.86
2002M07,7142.72
2002M08,6717.14
2002M09,6640.24
2002M10,6804.46
2002M11,7313.93
2002M12,7193.16
2003M01,8026.02
2003M02,8623.0
2003M03,8378.81
2003M04,7910.125
2003M05,8330.625
2003M06,8874.762
2003M07,8797.391
2003M08,9351.375
2003M09,9965.341
2003M10,11047.17
2003M11,12086.5
2003M12,14162.5
2004M01,15326.548
2004M02,15145.125
2004M03,13715.0
2004M04,12848.125
