grid,cdf_sim,density_sample
-25203.035531725287,3.4035547610156977e-05,1.930260042177594e-09
-25058.14797855474,3.4035547610156977e-05,1.976444919778861e-09
-24913.2604253842,3.45113411553187e-05,2.0239745289524826e-09
-24768.372872213655,3.499114822723913e-05,2.072895186498658e-09
-24623.485319043113,3.64425871224945e-05,2.1232550576328447e-09
-24478.597765872568,3.741650162157736e-05,2.1751042401089396e-09
-24333.710212702023,3.840053140139483e-05,2.228494852653867e-09
-24188.82265953148,3.9393101735979864e-05,2.283481127959867e-09
-24043.935106360936,4.0397236978534655e-05,2.340119510496287e-09
-23899.047553190394,4.141144237477029e-05,2.398468759419477e-09
-23754.16000001985,4.1922318128546844e-05,2.4585900568768797e-09
-23609.272446849303,4.1922318128546844e-05,2.5205471220207426e-09
-23464.38489367876,4.1922318128546844e-05,2.584406331067048e-09
-23319.497340508216,4.1922318128546844e-05,2.650236843757243e-09
-23174.609787337675,4.298501878431809e-05,2.718110736603483e-09
-23029.72223416713,4.352376209038623e-05,2.788103143323466e-09
-22884.834680996584,4.5694522309711066e-05,2.8602924028976126e-09
-22739.947127826043,4.678341849999485e-05,2.9347602157100975e-09
-22595.059574655497,4.7336972311682145e-05,3.011591808266499e-09
-22450.172021484956,4.844972080115348e-05,3.090876107013407e-09
-22305.28446831441,4.90123674608385e-05,3.1727059218219893e-09
-22160.396915143865,4.90123674608385e-05,3.2571781397345645e-09
-22015.509361973323,5.0163393103185136e-05,3.34439392961561e-09
-21870.621808802778,5.190197450230897e-05,3.4344589583921227e-09
-21725.734255632233,5.307308394205133e-05,3.5274836196163113e-09
-21580.84670246169,5.366649224704313e-05,3.6235832751348513e-09
-21435.959149291146,5.366649224704313e-05,3.722878510703932e-09
-21291.071596120604,5.547723190102528e-05,3.8254954064493794e-09
-21146.18404295006,5.547723190102528e-05,3.9315658231346285e-09
-21001.296489779517,5.6091450714055036e-05,4.04122770526929e-09
-20856.408936608972,5.671308116807264e-05,4.154625402165076e-09
-20711.521383438427,5.92270771633401e-05,4.271910008126873e-09
-20566.633830267885,5.986102385734786e-05,4.3932397230537085e-09
-20421.74627709734,5.986102385734786e-05,4.518780234818553e-09
-20276.858723926794,5.986102385734786e-05,4.648705124897314e-09
-20131.971170756253,6.18214188112846e-05,4.7831962988281045e-09
-19987.083617585708,6.248407124613675e-05,4.922444443200264e-09
-19842.196064415166,6.315223599329177e-05,5.066649511002118e-09
-19697.30851124462,6.586517769582634e-05,5.216021237296158e-09
-19552.42095807408,6.655102984472731e-05,5.370779687341844e-09
-19407.533404903534,6.862345374497114e-05,5.531155839450437e-09
-19262.64585173299,7.002246554018213e-05,5.69739220503525e-09
-19117.758298562447,7.214422032717895e-05,5.869743488513808e-09
-18972.8707453919,7.214422032717895e-05,6.048477289929781e-09
-18827.983192221356,7.35923096981745e-05,6.233874853390498e-09
-18683.095639050814,7.432341506982676e-05,6.426231864666162e-09
-18538.20808588027,7.506356251314919e-05,6.625859301567054e-09
-18393.320532709728,7.580942614138294e-05,6.83308434101098e-09
-18248.432979539182,7.656880709212946e-05,7.048251327015209e-09
-18103.54542636864,8.115451004596326e-05,7.271722804198059e-09
-17958.657873198095,8.346341298322169e-05,7.503880621758939e-09
-17813.77032002755,8.658993336291612e-05,7.745127113324378e-09
-17668.88276685701,8.895569995991497e-05,7.995886358504807e-09
-17523.995213686463,9.215212105282593e-05,8.256605532507595e-09
-17379.107660515918,9.296045526175178e-05,8.527756350699894e-09
-17234.220107345376,9.541782010535335e-05,8.809836615613618e-09
-17089.33255417483,9.62423621157635e-05,9.103371874543993e-09
-16944.445001004286,9.959383028721314e-05,9.408917196613003e-09
-16799.557447833744,0.0001038390228728783,9.727059078960817e-09
-16654.669894663202,0.00010726587651595465,1.0058417492598928e-08
-16509.782341492657,0.00011074580428613697,1.0403648079413573e-08
-16364.894788322114,0.00011426515908721185,1.076344451285986e-08
-16220.007235151568,0.00011604536699471927,1.1138541036046639e-08
-16075.119681981025,0.0001169464720536874,1.1529715192186764e-08
-15930.232128810481,0.00011876775621114046,1.1937790763796057e-08
-15785.344575639938,0.00012153632657630214,1.2363640938578913e-08
-15640.457022469394,0.00012338970710355627,1.2808191721653963e-08
-15495.569469298849,0.00012528118516524697,1.3272425615673926e-08
-15350.681916128306,0.00012623104942600155,1.3757385592493646e-08
-15205.794362957762,0.00012914083969012491,1.4264179382369766e-08
-15060.906809787219,0.00013011654404352957,1.4793984109256634e-08
-14916.019256616675,0.00013408815501705684,1.534805130362923e-08
-14771.13170344613,0.00013910049597764586,1.5927712327447922e-08
-14626.244150275586,0.00014417756482784433,1.653438424941906e-08
-14481.356597105043,0.00014932440240007485,1.7169576212651014e-08
-14336.4690439345,0.00015662727580184648,1.7834896341194652e-08
-14191.581490763956,0.00016189624948677477,1.8532059236859488e-08
-14046.69393759341,0.00016831508467550377,1.9262894123172545e-08
-13901.806384422867,0.00017590472017839105,2.002935369946141e-08
-13756.918831252324,0.0001857846884373849,2.08335237748983e-08
-13612.03127808178,0.00018689264137469183,2.167763376001236e-08
-13467.143724911237,0.00019364134807021782,2.256406810179246e-08
