grid,cdf_sim,density_sample
-25899.731135839385,2.119426373007436e-05,1.5725762972982807e-09
-25754.84358266884,2.119426373007436e-05,1.6096564333530389e-09
-25609.9560294983,2.119426373007436e-05,1.6477991738446758e-09
-25465.068476327753,2.119426373007436e-05,1.68704049622445e-09
-25320.18092315721,2.2397454069059783e-05,1.7274177876407792e-09
-25175.293369986666,2.3612108399773743e-05,1.7689699078574547e-09
-25030.40581681612,2.4021819455252304e-05,1.8117372553307811e-09
-24885.51826364558,2.6083390109174027e-05,1.855761836622205e-09
-24740.630710475034,2.6499322534441786e-05,1.9010873393339242e-09
-24595.743157304492,2.6499322534441786e-05,1.9477592087667257e-09
-24450.855604133947,2.6499322534441786e-05,1.995824728511479e-09
-24305.9680509634,2.6499322534441786e-05,2.0453331051991835e-09
-24161.08049779286,2.6931833927854414e-05,2.0963355576487175e-09
-24016.192944622315,2.780308341598669e-05,2.1488854106662986e-09
-23871.305391451773,2.780308341598669e-05,2.2030381937673675e-09
-23726.417838281228,2.8249782994865085e-05,2.2588517451084836e-09
-23581.530285110683,2.914808522365828e-05,2.3163863209358823e-09
-23436.64273194014,3.0055762948285657e-05,2.3757047108768545e-09
-23291.755178769596,3.0055762948285657e-05,2.43687235942174e-09
-23146.867625599054,3.0055762948285657e-05,2.4999574939670733e-09
-23001.98007242851,3.0524400994997916e-05,2.5650312598148207e-09
-22857.092519257963,3.099540595822841e-05,2.6321678625492974e-09
-22712.20496608742,3.242951519029285e-05,2.7014447182410596e-09
-22567.317412916876,3.291019212571994e-05,2.7729426119578463e-09
-22422.429859746335,3.291019212571994e-05,2.846745865094869e-09
-22277.54230657579,3.389607218050947e-05,2.9229425120718133e-09
-22132.654753405244,3.489317807283857e-05,3.001624486981447e-09
-21987.767200234703,3.539715181545268e-05,3.0828878208152135e-09
-21842.879647064157,3.539715181545268e-05,3.166832849934519e-09
-21697.992093893612,3.693963543409627e-05,3.253564436503295e-09
-21553.10454072307,3.7459456093465955e-05,3.3431922016478387e-09
-21408.216987552525,3.7459456093465955e-05,3.4358307721641117e-09
-21263.329434381983,3.799049276075167e-05,3.531600041651169e-09
-21118.441881211438,3.799049276075167e-05,3.630625447012686e-09
-20973.554328040897,4.069203850258698e-05,3.7330382613362175e-09
-20828.66677487035,4.069203850258698e-05,3.83897590423382e-09
-20683.779221699806,4.2899477098679937e-05,3.948582270806416e-09
-20538.891668529264,4.4570445890439685e-05,4.062008080480623e-09
-20394.00411535872,4.5695024707210726e-05,4.179411247058917e-09
-20249.116562188174,4.626718880246972e-05,4.300957271424513e-09
-20104.229009017632,4.9716589188296875e-05,4.426819658451009e-09
-19959.341455847087,5.029974019531728e-05,4.557180359783656e-09
-19814.453902676545,5.2065847423120524e-05,4.692230244287444e-09
-19669.566349506,5.2065847423120524e-05,4.83216959809384e-09
-19524.678796335458,5.3868304372423715e-05,4.977208656328726e-09
-19379.791243164913,5.630166903580447e-05,5.127568168766008e-09
-19234.903689994368,5.753173105771452e-05,5.283480001827393e-09
-19090.016136823826,5.753173105771452e-05,5.445187779540866e-09
-18945.12858365328,5.942275265084884e-05,5.612947566278327e-09
-18800.241030482735,6.132696946516997e-05,5.787028594319227e-09
-18655.353477312194,6.325919110790229e-05,5.967714039533927e-09
-18510.46592414165,6.650915134585029e-05,6.155301848748492e-09
-18365.578370971107,6.782844890621971e-05,6.350105622645613e-09
-18220.69081780056,6.916658382234584e-05,6.552455558374994e-09
-18075.80326463002,7.051839380152651e-05,6.762699456395159e-09
-17930.915711459475,7.392887169708248e-05,6.9812037964481926e-09
-17786.02815828893,7.669078818690086e-05,7.208354887984631e-09
-17641.140605118388,7.877911207724664e-05,7.444560100809908e-09
-17496.253051947842,8.230634355223165e-05,7.690249182220113e-09
-17351.365498777297,8.445722080378507e-05,7.945875667439798e-09
-17206.477945606755,8.662198031819222e-05,8.211918390769387e-09
-17061.590392436214,8.882431773287724e-05,8.488883105504922e-09
-16916.702839265665,8.956727083661119e-05,8.777304221408668e-09
-16771.815286095123,9.032054076974244e-05,9.077746669297708e-09
-16626.92773292458,9.335505727963445e-05,9.390807903183331e-09
-16482.040179754036,9.489121810020343e-05,9.717120051345061e-09
-16337.152626583493,9.79966007140036e-05,1.0057352228772672e-08
-16192.265073412947,0.00010036109563442682,1.0412213024562969e-08
-16047.377520242404,0.00010275244297618802,1.0782453179130899e-08
-15902.48996707186,0.00010517618151257325,1.116886846750051e-08
-15757.602413901317,0.00010843813757450476,1.157230280649044e-08
-15612.714860730774,0.00010926265669647634,1.1993651605325205e-08
-15467.827307560228,0.00011177358066047408,1.2433865381099609e-08
-15322.939754389685,0.00011262525024604054,1.2893953662624452e-08
-15178.052201219141,0.00011692324592115741,1.3374989208510245e-08
-15033.164648048598,0.00011953098093415498,1.3878112567928995e-08
